2012-12-27 15:35:17.023  INFO XcsXoaRegistry:40 - XcsXoaRegistry initialized.
2012-12-27 16:43:24.402  INFO XcsXoaRegistry:40 - XcsXoaRegistry initialized.
2012-12-27 16:46:32.577  INFO XcsXoaRegistry:40 - XcsXoaRegistry initialized.
2012-12-27 18:24:45.681  INFO XcsXoaRegistry:40 - XcsXoaRegistry initialized.
2012-12-27 19:14:18.740  INFO XcsXoaRegistry:40 - XcsXoaRegistry initialized.
2012-12-27 19:24:31.459  INFO XcsXoaRegistry:40 - XcsXoaRegistry initialized.
2012-12-27 19:31:19.863  INFO XcsXoaRegistry:40 - XcsXoaRegistry initialized.
2012-12-28 11:02:12.977  INFO HelloWorldImpl:128 - create index :field:sex  value:0
2012-12-28 11:02:12.977  INFO HelloWorldImpl:128 - create index :field:name  value:杨坤
2012-12-28 11:02:12.977  INFO HelloWorldImpl:128 - create index :field:year  value:2012
2012-12-28 11:02:12.978  INFO HelloWorldImpl:138 - 内存文档数5
2012-12-28 11:02:13.015  INFO HelloWorldImpl:242 - start crontab task!!
2012-12-28 11:02:13.027  INFO HelloWorldImpl:157 - queryString:屠
2012-12-28 11:02:21.863  INFO HelloWorldImpl:113 - test!
2012-12-28 11:02:21.863  INFO HelloWorldImpl:128 - create index :field:id  value:510
2012-12-28 11:02:21.863  INFO HelloWorldImpl:128 - create index :field:collegeId  value:12
2012-12-28 11:02:21.863  INFO HelloWorldImpl:128 - create index :field:sex  value:0
2012-12-28 11:02:21.863  INFO HelloWorldImpl:128 - create index :field:name  value:杨坤
2012-12-28 11:02:21.863  INFO HelloWorldImpl:128 - create index :field:year  value:2012
2012-12-28 11:02:21.866  INFO HelloWorldImpl:138 - 内存文档数1
2012-12-28 11:02:21.885  INFO HelloWorldImpl:242 - start crontab task!!
2012-12-28 11:02:21.895  INFO HelloWorldImpl:157 - queryString:杨
2012-12-28 11:02:21.916  INFO HelloWorldImpl:264 -  第 1 次执行 
2012-12-28 11:02:31.887  INFO HelloWorldImpl:264 -  第 2 次执行 
2012-12-28 11:02:40.369  INFO HelloWorldImpl:113 - test!
2012-12-28 11:02:40.369  INFO HelloWorldImpl:128 - create index :field:id  value:510
2012-12-28 11:02:40.369  INFO HelloWorldImpl:128 - create index :field:collegeId  value:12
2012-12-28 11:02:40.369  INFO HelloWorldImpl:128 - create index :field:sex  value:0
